172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.001 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.001 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.009 upstream_response_time=0.008
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.006 upstream_response_time=0.006
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:51:28 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:22:51:28 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.001 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:51:28 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:22:51:28 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.005 upstream_response_time=0.005
172.22.0.1 - - [30/Oct/2025:22:53:03 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.170 upstream_response_time=0.169
172.22.0.1 - - [30/Oct/2025:22:53:04 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.868 upstream_response_time=0.868
172.22.0.1 - - [30/Oct/2025:22:53:04 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.011 upstream_response_time=0.010
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.006 upstream_response_time=0.007
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.005 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.004 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:53:05 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.009 upstream_response_time=0.009
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.001 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:22:53:06 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.006 upstream_response_time=0.006
